url,ville_slug,statut,impressions_3m_cumulees
/couvreur-saclas/,saclas,PRIORITAIRE,500
/couvreur-arpajon/,arpajon,PRIORITAIRE,413
/couvreur-linas/,linas,PRIORITAIRE,410
/couvreur-sainte-genevieve-des-bois/,sainte-genevieve-des-bois,PRIORITAIRE,372
/couvreur-corbeil-essonnes/,corbeil-essonnes,PRIORITAIRE,306
/couvreur-morsang-sur-orge/,morsang-sur-orge,PRIORITAIRE,229
/couvreur-evry/,evry,PRIORITAIRE,220
/couvreur-palaiseau/,palaiseau,PRIORITAIRE,206
/couvreur-igny/,igny,PRIORITAIRE,199
/couvreur-itteville/,itteville,INDEX,198
/couvreur-montgeron/,montgeron,PRIORITAIRE,195
/couvreur-etrechy/,etrechy,PRIORITAIRE,154
/couvreur-gif-sur-yvette/,gif-sur-yvette,PRIORITAIRE,130
/couvreur-mereville/,mereville,PRIORITAIRE,129
/couvreur-lardy/,lardy,INDEX,125
/couvreur-draveil/,draveil,PRIORITAIRE,112
/couvreur-savigny-sur-orge/,savigny-sur-orge,PRIORITAIRE,111
/couvreur-limours/,limours,INDEX,108
/couvreur-egly/,egly,INDEX,103
/couvreur-yerres/,yerres,INDEX,95
/couvreur-dourdan/,dourdan,INDEX,90
/couvreur-avrainville/,avrainville,INDEX,82
/couvreur-champlan/,champlan,PRIORITAIRE,80
/couvreur-la-ville-du-bois/,la-ville-du-bois,PRIORITAIRE,71
/couvreur-milly-la-foret/,milly-la-foret,PRIORITAIRE,68
/couvreur-bretigny-sur-orge/,bretigny-sur-orge,INDEX,66
/couvreur-wissous/,wissous,PRIORITAIRE,66
/couvreur-pecqueuse/,pecqueuse,PRIORITAIRE,64
/couvreur-soisy-sur-ecole/,soisy-sur-ecole,INDEX,63
/couvreur-longjumeau/,longjumeau,INDEX,59
/couvreur-breuillet/,breuillet,INDEX,58
/couvreur-bures-sur-yvette/,bures-sur-yvette,INDEX,58
/couvreur-angervilliers/,angervilliers,INDEX,57
/couvreur-la-ferte-alais/,la-ferte-alais,INDEX,56
/couvreur-villejust/,villejust,INDEX,56
/couvreur-orsay/,orsay,PRIORITAIRE,51
/couvreur-morigny-champigny/,morigny-champigny,INDEX,48
/couvreur-gometz-la-ville/,gometz-la-ville,INDEX,47
/couvreur-morangis/,morangis,INDEX,45
/couvreur-ballainvilliers/,ballainvilliers,INDEX,43
/couvreur-vert-le-grand/,vert-le-grand,INDEX,39
/couvreur-saulx-les-chartreux/,saulx-les-chartreux,INDEX,38
/couvreur-auvers-saint-georges/,auvers-saint-georges,INDEX,37
/couvreur-villebon-sur-yvette/,villebon-sur-yvette,INDEX,36
/couvreur-briis-sous-forges/,briis-sous-forges,INDEX,34
/couvreur-saintry-sur-seine/,saintry-sur-seine,INDEX,34
/couvreur-ris-orangis/,ris-orangis,INDEX,31
/couvreur-brunoy/,brunoy,INDEX,29
/couvreur-etampes/,etampes,INDEX,29
/couvreur-cheptainville/,cheptainville,INDEX,28
/couvreur-vigneux-sur-seine/,vigneux-sur-seine,INDEX,28
/couvreur-ballancourt-sur-essonne/,ballancourt-sur-essonne,INDEX,26
/couvreur-boissy-le-cutte/,boissy-le-cutte,INDEX,26
/couvreur-le-coudray-montceaux/,le-coudray-montceaux,INDEX,24
/couvreur-abbeville-la-riviere/,abbeville-la-riviere,INDEX,21
/couvreur-les-ulis/,les-ulis,INDEX,20
/couvreur-marolles-en-hurepoix/,marolles-en-hurepoix,INDEX,20
/couvreur-tigery/,tigery,INDEX,19
/couvreur-epinay-sur-orge/,epinay-sur-orge,INDEX,18
/couvreur-nainville-les-roches/,nainville-les-roches,INDEX,18
/couvreur-breux-jouy/,breux-jouy,INDEX,17
/couvreur-la-norville/,la-norville,INDEX,17
/couvreur-janvry/,janvry,INDEX,16
/couvreur-marcoussis/,marcoussis,INDEX,16
/couvreur-mennecy/,mennecy,INDEX,16
/couvreur-viry-chatillon/,viry-chatillon,INDEX,16
/couvreur-boissy-sous-saint-yon/,boissy-sous-saint-yon,INDEX,15
/couvreur-les-molieres/,les-molieres,INDEX,15
/couvreur-bouray-sur-juine/,bouray-sur-juine,INDEX,12
/couvreur-longpont-sur-orge/,longpont-sur-orge,INDEX,10
/couvreur-pussay/,pussay,INDEX,9
/couvreur-saint-germain-les-corbeil/,saint-germain-les-corbeil,INDEX,9
/couvreur-champmotteux/,champmotteux,INDEX,7
/couvreur-chevannes/,chevannes,INDEX,7
/couvreur-etiolles/,etiolles,INDEX,7
/couvreur-janville-sur-juine/,janville-sur-juine,INDEX,7
/couvreur-marolles-en-beauce/,marolles-en-beauce,INDEX,7
/couvreur-roinville/,roinville,NOINDEX,7
/couvreur-courson-monteloup/,courson-monteloup,INDEX,6
/couvreur-le-plessis-pate/,le-plessis-pate,INDEX,6
/couvreur-le-val-saint-germain/,le-val-saint-germain,INDEX,6
/couvreur-moigny-sur-ecole/,moigny-sur-ecole,INDEX,6
/couvreur-cerny/,cerny,INDEX,5
/couvreur-leuville-sur-orge/,leuville-sur-orge,INDEX,5
/couvreur-sermaise/,sermaise,INDEX,5
/couvreur-athis-mons/,athis-mons,NOINDEX,4
/couvreur-chalo-saint-mars/,chalo-saint-mars,NOINDEX,4
/couvreur-dannemois/,dannemois,NOINDEX,4
/couvreur-dhuison-longueville/,dhuison-longueville,NOINDEX,4
/couvreur-gometz-le-chatel/,gometz-le-chatel,NOINDEX,4
/couvreur-les-granges-le-roi/,les-granges-le-roi,NOINDEX,4
/couvreur-massy/,massy,NOINDEX,4
/couvreur-mondeville/,mondeville,NOINDEX,4
/couvreur-montlhery/,montlhery,NOINDEX,4
/couvreur-saint-michel-sur-orge/,saint-michel-sur-orge,NOINDEX,4
/couvreur-baulne/,baulne,NOINDEX,3
/couvreur-buno-bonnevaux/,buno-bonnevaux,NOINDEX,3
/couvreur-chauffour-les-etrechy/,chauffour-les-etrechy,NOINDEX,3
/couvreur-congerville-thionville/,congerville-thionville,NOINDEX,3
/couvreur-lisses/,lisses,NOINDEX,3
/couvreur-quincy-sous-senart/,quincy-sous-senart,NOINDEX,3
/couvreur-saint-cyr-sous-dourdan/,saint-cyr-sous-dourdan,NOINDEX,3
/couvreur-saint-sulpice-de-favieres/,saint-sulpice-de-favieres,NOINDEX,3
/couvreur-videlles/,videlles,NOINDEX,3
/couvreur-arrancourt/,arrancourt,NOINDEX,2
/couvreur-boussy-saint-antoine/,boussy-saint-antoine,NOINDEX,2
/couvreur-chilly-mazarin/,chilly-mazarin,NOINDEX,2
/couvreur-courcouronnes/,courcouronnes,NOINDEX,2
/couvreur-fleury-merogis/,fleury-merogis,NOINDEX,2
/couvreur-merobert/,merobert,NOINDEX,2
/couvreur-nozay/,nozay,NOINDEX,2
/couvreur-ormoy-la-riviere/,ormoy-la-riviere,NOINDEX,2
/couvreur-paray-vieille-poste/,paray-vieille-poste,NOINDEX,2
/couvreur-plessis-saint-benoist/,plessis-saint-benoist,NOINDEX,2
/couvreur-saclay/,saclay,NOINDEX,2
/couvreur-saint-germain-les-arpajon/,saint-germain-les-arpajon,NOINDEX,2
/couvreur-villeconin/,villeconin,NOINDEX,2
/couvreur-authon-la-plaine/,authon-la-plaine,NOINDEX,1
/couvreur-boissy-la-riviere/,boissy-la-riviere,NOINDEX,1
/couvreur-bouville/,bouville,NOINDEX,1
/couvreur-guillerval/,guillerval,NOINDEX,1
/couvreur-juvisy-sur-orge/,juvisy-sur-orge,NOINDEX,1
/couvreur-leudeville/,leudeville,NOINDEX,1
/couvreur-mespuits/,mespuits,NOINDEX,1
/couvreur-monnerville/,monnerville,NOINDEX,1
/couvreur-oncy-sur-ecole/,oncy-sur-ecole,NOINDEX,1
/couvreur-ormoy/,ormoy,NOINDEX,1
/couvreur-puiselet-le-marais/,puiselet-le-marais,NOINDEX,1
/couvreur-saint-cheron/,saint-cheron,NOINDEX,1
/couvreur-saint-jean-de-beauregard/,saint-jean-de-beauregard,NOINDEX,1
/couvreur-saint-vrain/,saint-vrain,NOINDEX,1
/couvreur-souzy-la-briche/,souzy-la-briche,NOINDEX,1
/couvreur-villabe/,villabe,NOINDEX,1
/couvreur-angerville/,angerville,NOINDEX,0
/couvreur-auvernaux/,auvernaux,NOINDEX,0
/couvreur-bievres/,bievres,NOINDEX,0
/couvreur-blandy/,blandy,NOINDEX,0
/couvreur-boigneville/,boigneville,NOINDEX,0
/couvreur-bois-herpin/,bois-herpin,NOINDEX,0
/couvreur-boissy-le-sec/,boissy-le-sec,NOINDEX,0
/couvreur-bondoufle/,bondoufle,NOINDEX,0
/couvreur-boullay-les-troux/,boullay-les-troux,NOINDEX,0
/couvreur-boutervilliers/,boutervilliers,NOINDEX,0
/couvreur-boutigny-sur-essonne/,boutigny-sur-essonne,NOINDEX,0
/couvreur-brieres-les-scelles/,brieres-les-scelles,NOINDEX,0
